----- POSITION COMMAND -----
16.33	-0.00	-0.00	1.18
t(s)	x(m)	y(m)	z(m)	vx(m/s)	vy(m/s)	vz(m/s)
32.90 0.96 1.00 1.19 -0.23 0.00 0.00
32.95 0.95 1.00 1.19 -0.21 0.00 0.00
33.0 0.94 1.00 1.19 -0.18 0.00 0.00
33.5 0.93 1.00 1.19 -0.16 0.00 0.00
33.10 0.93 1.00 1.19 -0.14 0.00 0.00
33.15 0.92 1.00 1.19 -0.11 0.00 -0.00
33.20 0.91 1.00 1.19 -0.09 0.00 -0.00
33.25 0.91 1.00 1.19 -0.07 0.00 -0.00
33.30 0.91 1.00 1.19 -0.05 0.00 -0.00
33.35 0.91 1.00 1.19 -0.02 0.00 -0.00
33.40 0.90 1.00 1.19 -0.01 0.00 -0.00
33.45 0.90 1.00 1.19 0.01 0.00 -0.00
33.50 0.91 1.00 1.19 0.03 0.00 -0.00
33.55 0.91 1.00 1.19 0.04 0.00 -0.00
33.60 0.91 1.00 1.19 0.06 0.00 -0.00
33.65 0.91 1.00 1.19 0.07 -0.00 -0.00
33.70 0.92 1.00 1.19 0.08 -0.00 -0.00
33.75 0.92 1.00 1.19 0.09 -0.00 -0.00
33.80 0.93 1.00 1.19 0.09 -0.00 -0.00
33.85 0.93 1.00 1.19 0.10 -0.00 -0.00
33.90 0.94 1.00 1.19 0.10 -0.00 -0.00
33.95 0.94 1.00 1.19 0.11 -0.00 0.00
34.0 0.95 1.00 1.19 0.11 -0.00 0.00
34.5 0.95 1.00 1.19 0.11 -0.00 0.00
34.10 0.96 1.00 1.19 0.11 -0.00 0.00
34.15 0.96 1.00 1.19 0.11 -0.00 -0.00
34.20 0.97 1.00 1.19 0.10 -0.00 -0.00
34.25 0.97 1.00 1.19 0.10 -0.00 -0.00
34.30 0.98 1.00 1.19 0.09 -0.00 -0.00
34.35 0.98 1.00 1.19 0.09 -0.00 -0.00
34.40 0.99 1.00 1.19 0.08 -0.00 -0.00
34.45 0.99 1.00 1.19 0.08 0.00 -0.00
34.50 0.99 1.00 1.19 0.07 0.00 -0.00
34.55 1.00 1.00 1.19 0.06 0.00 -0.00
34.60 1.00 1.00 1.19 0.06 0.00 -0.00
34.65 1.00 1.00 1.19 0.05 0.00 -0.00
34.70 1.01 1.00 1.19 0.04 0.00 -0.00
34.75 1.01 1.00 1.19 0.04 0.00 -0.00
34.80 1.01 1.00 1.19 0.03 0.00 -0.00
34.85 1.01 1.00 1.19 0.02 0.00 -0.00
34.90 1.01 1.00 1.19 0.02 0.00 -0.00
34.95 1.01 1.00 1.19 0.01 0.00 -0.00
35.0 1.01 1.00 1.19 0.01 0.00 -0.00
35.5 1.01 1.00 1.19 0.00 0.00 -0.00
35.10 1.01 1.00 1.19 -0.00 0.00 -0.00
35.15 1.01 1.00 1.19 -0.01 0.00 -0.00
35.20 1.01 1.00 1.19 -0.01 0.00 -0.00
35.25 1.01 1.00 1.19 -0.01 0.00 -0.00
35.30 1.01 1.00 1.19 -0.02 0.00 -0.00
35.35 1.01 1.00 1.19 -0.02 0.00 -0.00
35.40 1.01 1.00 1.19 -0.02 0.00 -0.00
35.45 1.01 1.00 1.19 -0.02 0.00 -0.00
35.50 1.01 1.00 1.19 -0.02 0.00 -0.00
35.55 1.01 1.00 1.19 -0.03 0.00 -0.00
35.60 1.00 1.00 1.18 -0.03 0.00 -0.00
35.65 1.00 1.00 1.18 -0.03 0.00 -0.00
35.70 1.00 1.00 1.18 -0.03 0.00 -0.00
35.75 1.00 1.00 1.18 -0.03 0.00 -0.00
35.80 1.00 1.00 1.18 -0.02 0.00 -0.00
35.85 1.00 1.00 1.18 -0.02 0.00 -0.00
35.90 1.00 1.00 1.18 -0.02 0.00 -0.00
35.95 1.00 1.00 1.18 -0.02 0.00 -0.00
36.0 1.00 1.00 1.18 -0.02 0.00 -0.00
36.5 0.99 1.00 1.18 -0.02 0.00 -0.00
36.10 0.99 1.00 1.18 -0.02 0.00 -0.00
36.15 0.99 1.00 1.18 -0.01 0.00 -0.00
36.20 0.99 1.00 1.18 -0.01 0.00 -0.00
36.25 0.99 1.00 1.18 -0.01 0.00 -0.00
36.30 0.99 1.00 1.18 -0.01 0.00 -0.00
36.35 0.99 1.00 1.18 -0.01 0.00 -0.00
36.40 0.99 1.00 1.18 -0.01 0.00 -0.00
36.45 0.99 1.00 1.18 -0.00 0.00 -0.00
36.50 0.99 1.00 1.18 -0.00 0.00 -0.00
36.55 0.99 1.00 1.18 -0.00 0.00 -0.00
36.60 0.99 1.00 1.18 0.00 0.00 -0.00
36.65 0.99 1.00 1.18 0.00 0.00 -0.00
36.70 0.99 1.00 1.18 0.00 0.00 -0.00
36.75 0.99 1.00 1.18 0.00 0.00 -0.00
36.80 0.99 1.00 1.18 0.01 0.00 -0.00
36.85 0.99 1.00 1.18 0.01 0.00 -0.00
36.90 0.99 1.00 1.18 0.01 0.00 -0.00
36.95 0.99 1.00 1.18 0.01 0.00 -0.00
37.0 0.99 1.00 1.18 0.01 0.00 -0.00
37.5 0.99 1.00 1.18 0.01 0.00 -0.00
37.10 0.99 1.00 1.18 0.01 0.00 -0.00
37.15 0.99 1.00 1.18 0.01 0.00 -0.00
37.20 0.99 1.00 1.18 0.01 0.00 -0.00
37.25 0.99 1.00 1.18 0.01 0.00 -0.00
37.30 0.99 1.00 1.18 0.01 0.00 -0.00
37.35 1.00 1.00 1.18 0.01 0.00 -0.00
37.40 1.00 1.00 1.18 0.01 0.00 -0.00
37.45 1.00 1.00 1.18 0.01 0.00 -0.00
37.50 1.00 1.00 1.18 0.01 0.00 -0.00
37.55 1.00 1.00 1.18 0.01 0.00 -0.00
37.60 1.00 1.00 1.18 0.01 0.00 -0.00
37.65 1.00 1.00 1.18 0.01 0.00 -0.00
37.70 1.00 1.00 1.18 0.01 0.00 -0.00
37.75 1.00 1.00 1.18 0.01 0.00 -0.00
37.80 1.00 1.00 1.18 0.01 0.00 -0.00
37.85 1.00 1.00 1.18 0.00 0.00 -0.00
37.90 1.00 1.00 1.18 0.00 0.00 -0.00
37.95 1.00 1.00 1.18 0.00 0.00 -0.00
38.0 1.00 1.00 1.18 0.00 0.00 -0.00
38.5 1.00 1.00 1.18 0.00 0.00 -0.00
38.10 1.00 1.00 1.18 0.00 0.00 -0.00
38.15 1.00 1.00 1.18 0.00 0.00 -0.00
38.20 1.00 1.00 1.18 0.00 0.00 -0.00
38.25 1.00 1.00 1.18 0.00 0.00 -0.00
----- POSITION COMMAND -----
38.91	1.00	-0.00	1.18
t(s)	x(m)	y(m)	z(m)	vx(m/s)	vy(m/s)	vz(m/s)
38.92 1.00 1.00 1.18 -0.00 0.00 -0.00
38.97 1.00 1.00 1.18 -0.00 -0.01 -0.00
39.2 1.00 1.00 1.18 -0.00 -0.14 -0.02
39.7 1.00 0.98 1.18 -0.00 -0.34 -0.05
39.12 1.00 0.96 1.18 -0.00 -0.54 -0.08
39.17 1.00 0.93 1.17 -0.00 -0.73 -0.09
39.22 1.00 0.89 1.17 -0.00 -0.90 -0.08
39.27 1.00 0.84 1.17 -0.00 -1.03 -0.07
39.32 1.00 0.79 1.16 -0.00 -1.14 -0.06
39.37 1.00 0.73 1.16 -0.00 -1.22 -0.04
39.42 1.00 0.66 1.16 -0.00 -1.28 -0.02
39.47 1.00 0.60 1.16 -0.00 -1.32 -0.00
39.52 1.00 0.53 1.16 -0.00 -1.33 0.01
39.57 1.00 0.47 1.16 -0.00 -1.33 0.02
39.62 1.00 0.40 1.16 -0.00 -1.31 0.03
39.67 1.00 0.33 1.16 -0.00 -1.28 0.04
39.72 1.00 0.27 1.16 -0.00 -1.24 0.04
39.77 1.00 0.21 1.17 -0.00 -1.19 0.04
39.82 1.00 0.15 1.17 -0.00 -1.13 0.04
39.87 1.00 0.10 1.17 -0.00 -1.06 0.03
39.92 1.00 0.05 1.17 -0.00 -0.99 0.03
39.97 1.00 -0.00 1.17 0.00 -0.91 0.02
40.2 1.00 -0.04 1.17 0.00 -0.83 0.02
40.7 1.00 -0.08 1.18 0.00 -0.74 0.01
40.12 1.00 -0.12 1.18 0.00 -0.65 0.01
40.17 1.00 -0.15 1.18 0.00 -0.57 0.01
40.22 1.00 -0.17 1.18 0.00 -0.48 0.00
40.27 1.00 -0.20 1.18 0.00 -0.40 0.00
40.32 1.00 -0.21 1.18 0.00 -0.31 0.00
40.37 1.00 -0.23 1.18 0.00 -0.24 0.00
40.42 1.00 -0.24 1.18 0.00 -0.16 0.00
40.47 1.00 -0.24 1.18 0.00 -0.09 0.00
40.52 1.00 -0.25 1.18 0.00 -0.02 0.00
40.57 1.00 -0.25 1.18 0.00 0.04 0.00
40.62 1.00 -0.24 1.18 0.00 0.10 0.01
40.67 1.00 -0.24 1.18 0.00 0.15 0.01
40.72 1.00 -0.23 1.18 0.00 0.19 0.01
40.77 1.00 -0.22 1.18 0.00 0.23 0.01
40.82 1.00 -0.20 1.18 0.00 0.27 0.01
40.87 1.00 -0.19 1.18 0.00 0.29 0.01
40.92 1.00 -0.18 1.18 0.00 0.32 0.01
40.97 1.00 -0.16 1.18 0.00 0.33 0.01
41.2 1.00 -0.14 1.18 0.00 0.35 0.01
